2024-04-14 07:20:17.044182591 +0100 BST,9277785356448308,6517378067341210,10362433-0fb8-475a-9587-36983e3f5cc6,404.59,USD,REF 5135
2024-04-14 14:38:24.380759374 +0100 BST,7392458292032499,8826297157459405,537d2cc2-eb5c-459c-bf3d-1125f0b3c01f,631.15,GBP,REF 5387
2024-04-14 16:46:47.59929697 +0100 BST,3441366146994674,5523763488640803,8d22e1c1-ebc6-4c18-b777-2362a665b9c8,191.20,USD,REF 7157
2024-04-14 01:03:06.48392925 +0100 BST,9469141786583540,9541432218362415,dab976fe-326f-44e5-80f8-cb1d8bab2a8a,39.92,GBP,REF 4446
2024-04-14 15:09:36.636728491 +0100 BST,9482355607563960,0716126497343649,9c9f9a83-cc85-4188-bf56-16862646174f,642.67,USD,REF 8383
2024-04-14 21:09:59.966524172 +0100 BST,9805031975735744,6577344830568935,e84f7c38-454e-46c1-b557-e81ee2a74ac7,161.13,USD,REF 9317
2024-04-14 16:14:25.847729109 +0100 BST,1904642713117562,7343702617608637,841902ed-502e-4da5-a4be-59f8ecd87c26,334.50,USD,REF 3027
2024-04-14 03:43:54.538459065 +0100 BST,6253988036725458,9741831328221989,8e6f1f84-98e8-4cc0-bc3d-7da2cf7d21bd,569.40,GBP,REF 4149
2024-04-14 13:36:33.752459665 +0100 BST,8956099408817455,3259548307010948,0fbad5cf-f1b0-4d4e-b340-2592b8307016,183.52,USD,REF 7050
2024-04-14 19:56:25.588707749 +0100 BST,0361923687177156,0402393558351846,ac26a2ce-a625-4c35-a5ab-a8dcf547cef5,285.32,USD,REF 8195
2024-04-14 19:16:25.251933584 +0100 BST,4440312380360039,3525010270055200,32121459-02ec-4ef2-b1c8-6a18845b4cdd,135.60,GBP,REF 5798
2024-04-14 04:06:14.327411535 +0100 BST,5519951535376450,8520826311003047,0f9c1c3d-a6d7-4ae3-ae6a-ca814a1cb1c8,161.82,GBP,REF 1907
2024-04-14 19:15:39.188589703 +0100 BST,4463066171498708,1000698766031134,6ea2865a-f5cc-46d4-a708-17b5deb7f88e,571.80,USD,REF 5326
2024-04-14 02:29:44.252465987 +0100 BST,6965393906741468,0615432134989902,84e590db-2a38-4286-a71b-3682569574cb,600.19,GBP,REF 6971
2024-04-14 09:31:32.567035574 +0100 BST,1079306242270397,3391268298391364,194e91c9-9c09-41da-ae79-945cc4ea1dfd,67.89,GBP,REF 7977
2024-04-14 12:16:02.780030916 +0100 BST,7795798909729778,4727510460116078,1db10f67-ff48-4008-a779-d2eaf2d264df,481.31,GBP,REF 9149
2024-04-14 03:13:04.693902515 +0100 BST,4012697239334139,7615135398241508,730ac66f-e804-4785-8f85-94080bf4acc5,264.84,GBP,REF 4919
2024-04-14 19:25:13.589590803 +0100 BST,3656589627867543,5399835125608877,efc4d429-f641-4719-922e-234e4ce279fa,573.41,USD,REF 6205
2024-04-14 14:28:25.534407157 +0100 BST,0139280100382611,2054144302678786,460eb7aa-d1cc-4697-b425-1498cd31622b,441.53,USD,REF 9248
2024-04-14 08:15:10.206919533 +0100 BST,3205993920966403,7458182450341334,7d013486-7f67-42df-ba4e-ed1717859f1f,409.25,GBP,REF 6176
2024-04-14 19:49:49.382433154 +0100 BST,2146448237965118,6561548807239570,e999fbad-af69-44f2-8a57-c907258ef45f,529.42,GBP,REF 3027
2024-04-14 12:12:18.983271529 +0100 BST,1780637320352440,9703691127435848,464a7ec7-19a2-4053-988b-c337a51b015d,376.59,GBP,REF 6182
2024-04-14 15:44:29.29144862 +0100 BST,7948722997425527,5281079870214749,23722bbb-44c1-4fc2-a053-fc8ade3d9a8c,301.30,USD,REF 7755
2024-04-14 21:48:52.25399486 +0100 BST,5731658427009313,6238649573403377,f4695318-b010-4453-9fd9-08d2c9503f62,285.75,GBP,REF 9071
2024-04-14 12:01:41.059412685 +0100 BST,7530669834183890,7899797624071130,75684ae5-e9e4-4aa2-a58a-39599261bac6,251.24,GBP,REF 1450
2024-04-14 06:18:08.596722672 +0100 BST,6639529876992929,8085365264310135,10be5e02-26a2-449e-9b10-ec8b98741e43,390.50,GBP,REF 1887
2024-04-14 05:36:08.770435331 +0100 BST,3116006808854039,1059213180188874,63cb874b-c105-4155-82b7-3ce0bb8d05bb,371.33,GBP,REF 8111
2024-04-14 06:38:48.971275668 +0100 BST,3536348517677907,0448273166791552,076ef61e-9b53-4a82-a7a9-c2af6c6b0f99,495.10,GBP,REF 2507
2024-04-14 16:05:12.013129513 +0100 BST,3162865432215665,2664606648702142,371c94ba-42e5-4f6a-9a73-720b00d592e4,295.88,GBP,REF 7967
2024-04-14 22:41:37.13381839 +0100 BST,5679094354604065,6900220298048316,25042fcd-e537-4282-ba3d-757d583fc36d,117.70,GBP,REF 4963
2024-04-14 11:33:06.06292507 +0100 BST,2465941414011307,8084648245168867,cc543636-081d-43d6-8439-5608844f7f53,497.32,GBP,REF 1182
2024-04-14 18:37:54.99995828 +0100 BST,0039966591218262,0558643496473051,524783ea-0678-4a26-88ad-77e5736ca95c,39.79,GBP,REF 8092
2024-04-14 04:52:26.024342434 +0100 BST,5864169066957655,4901032667777365,824f75c8-0659-43fb-af61-c114f95d335f,286.60,GBP,REF 9597
2024-04-14 23:08:40.384788757 +0100 BST,4398942356080156,0087798272188588,fb3d36be-0d19-4d08-8fd7-dac672c5e860,525.98,GBP,REF 7751
2024-04-14 17:23:18.468433469 +0100 BST,8690817679042972,8749228802732719,7fdaf5b7-9ed5-4240-a5b1-936545af7862,43.15,USD,REF 7039
2024-04-14 06:46:06.572399816 +0100 BST,3738727931979542,0476266205828437,b5857309-2e1d-4532-b093-f2fbf7fd1cbe,299.89,USD,REF 8932
2024-04-14 15:29:37.178344547 +0100 BST,0346269327331001,0607846572191850,145e82e3-b17b-4016-8de2-a0778ee1227b,525.24,GBP,REF 4272
2024-04-14 07:40:08.557643808 +0100 BST,5792572693156865,6092074585894696,3a3a88fd-b54b-4369-8d9c-fa641f800eb7,497.97,GBP,REF 8206
2024-04-14 14:42:21.259806766 +0100 BST,9883035511217587,9738269091492069,2c330070-d301-4729-83cd-373f3fb65311,653.10,GBP,REF 6875
2024-04-14 01:33:45.396329208 +0100 BST,2838872570515603,2404450746006048,662883bf-10bc-4127-a008-f053bab9faa9,168.68,GBP,REF 5644
